"","All","Female","Male","All","Female","Male","All","Female","Male","All","Female","Male"
"E",-0.00843015092718539,0.10631879938717,-0.605610986202841,-0.126381550732294,-0.187171067820117,-0.10114034567984,-0.148909445590238,-0.0402822989846591,-0.733809706938079,0.524334112462803,0.286394141004697,1.34238006798489
"11-KT",0.0520548040570818,0.232248861106376,-0.274806461967435,-0.244352971291749,-0.418813633702824,0.184168607953836,-0.069113348760509,0.20266796875147,-0.644281077317514,0.568228863707739,0.397126588375264,1.01760484941097
"17a-OHP5",-0.203627922068671,-0.155835506705631,-0.435301214242763,-0.207071427370836,-0.157775032986064,-0.403930966678704,-0.247162797294566,-0.439302845390672,-0.0192353876090722,-0.673161853943546,-0.546165090337491,-1.0335910154368
"S",-0.247146548376845,-0.14873799856833,-0.532833285429609,-0.187168041934729,-0.0960678342267903,-0.436541249078255,-0.482724228119461,-0.348832890662363,-0.79843433186648,0.327978161442064,0.297121989185523,0.324682156471666
"B",-0.409002728981933,-0.253082456323148,-0.659914117603913,-0.195675444332528,-0.19319481178425,-0.20582121934695,-0.622199633060994,-0.543538350619236,-0.762299077478528,-0.269817803571456,-0.320117946938034,-0.194375447395952
"11b-OHA4",0.373866657950631,0.630186416716574,-0.151775660804924,0.022836316745818,-0.0481741849145669,0.136881188476576,0.205292078547606,0.556901780592773,-0.568863768219534,0.414084579027347,0.651449167703947,-0.102856410486495
"11-KDHT",0.147021133447511,0.468976181869919,-0.274662049975171,-0.143392965146368,-0.0307520576127088,-0.373550709166403,0.0340066127572229,0.343229798786291,-0.381724547281096,0.0491773030222955,0.560015001817382,-0.616026904756976
"11-KA4",0.359183836695647,0.365464929421632,0.405495521500762,0.268363428101568,0.0723836697550915,0.589281555709455,0.305144313934695,0.325072222146354,0.316002894987395,-0.518154385096518,-1.34195591293989,0.380286941967885
"DHEA",-0.332903964816238,0.0127479711734521,-0.70150345849199,-0.247582725671791,-0.252896677085954,-0.178183913618295,-0.188590913625743,-0.164608401383152,-0.135715440940407,-0.785252373268419,-0.386034184313942,-1.41423855388957
"T/Epi-T",0.215814744067628,-0.234786160496984,-0.431519503368628,-0.0293752764497546,-0.268290587544101,-0.856902638760273,0.109585845287549,-0.204761641500067,-0.470437460328333,-0.0279372164830054,-0.412604669773256,-0.315822664786041
"17a-OHP4",-0.383194905638886,-0.609238487120773,-0.522613359395344,-0.137578638655106,-0.105457118759234,-0.537265654116048,-0.424744624492795,-0.608175236538515,-0.486018034353361,-0.0746569315543973,0.000363318770607714,-0.485301993044477
"AN",-0.28596677730088,-0.284243308990553,-0.316603729317998,-0.371408813842777,-0.291446010519994,-0.526436138799086,-0.534990127263935,-0.408224226906063,-0.717537463027961,-0.199142855636991,0.0829523880368954,-0.590667607305676
"DHT",-0.593961010547161,-1.3920708502245,-0.468105282931625,-0.480349647563534,-0.674158970007427,-0.69640225381211,-0.609867690490497,-1.44064672998246,-0.148100308728254,-0.0636736280332293,-0.312292173791864,0.114266255272929
"A4",-0.41051031602064,-0.26194502906181,-0.593196646184224,-0.247080207519639,-0.17213461480317,-0.376138677216248,-0.488015814626707,-0.361490312962927,-0.689283585177672,-0.156359567111614,0.0488877827525082,-0.526824763993195
"DOC",-0.731847804273186,-0.761364936678755,-0.778240844043903,-0.235964331371978,-0.0624321389449096,-0.635263358943604,-0.849135730932681,-0.857177715459741,-0.896406838804595,-0.3910502971958,-0.586025937795903,-0.0817710210242067
"P5",-0.767274829423298,-0.565211088160521,-0.972540090972341,-0.40869210365976,-0.266084360495843,-0.641224586229891,-0.67211764796328,-0.74143347940499,-0.496432347169377,-0.257855396250806,-0.680557141431809,0.467609194030163
"P4",-0.622881087395329,-0.74366354707117,-0.209942947517673,-0.161252469689496,-0.0770669353802679,-0.438842895508916,-0.579944734211869,-0.676702801648322,-0.36732686504932,0.106823869699365,0.205857899451462,0.120947117905997
"A",-0.467780347241381,-0.536262643255674,-0.123833713896775,0.024419069494256,0.106836851354956,0.065091856707061,-0.396798384539483,-0.483763051111488,-0.104835248734828,0.301085229209735,0.408612033963578,0.350467396365361
"E2",-0.306637887434766,-0.481938985574161,0.26848738264918,-0.0840017190347617,-0.173263735008341,0.527433644124856,-0.482554535364137,-0.672574714469229,-0.00103051589058794,-0.539683924836378,-0.663556123071716,-0.352609778344172
"E1",-0.306550261024934,-0.428468591474831,0.144805815131649,-0.175951915658761,-0.31774269251993,0.359406278966808,-0.330031974675388,-0.516568901709991,0.192173803517081,-0.82543833620464,-1.01647115398806,-0.472404152120631
