"","All","Female","Male","All","Female","Male","All","Female","Male","All","Female","Male"
"E",-0.00843015092718539,0.10631879938717,-0.605610986202841,-0.126381550732294,-0.187171067820117,-0.10114034567984,-0.148909445590238,-0.0402822989846591,-0.733809706938079,0.098738714666036,-0.0817470806070625,0.827577788292447
"11-KT",0.0520548040570818,0.232248861106376,-0.274806461967435,-0.244352971291749,-0.418813633702824,0.184168607953836,-0.069113348760509,0.20266796875147,-0.644281077317514,0.0911157952021902,-0.192291187816289,1.17312011750772
"17a-OHP5",-0.203627922068671,-0.155835506705631,-0.435301214242763,-0.207071427370836,-0.157775032986064,-0.403930966678704,-0.247162797294566,-0.439302845390672,-0.0192353876090722,0.0931014183088826,-0.0820418224593533,0.585441845141606
"S",-0.247146548376845,-0.14873799856833,-0.532833285429609,-0.187168041934729,-0.0960678342267903,-0.436541249078255,-0.482724228119461,-0.348832890662363,-0.79843433186648,0.289060499905248,-0.0715063267914914,1.13706529292877
"B",-0.409002728981933,-0.253082456323148,-0.659914117603913,-0.195675444332528,-0.19319481178425,-0.20582121934695,-0.622199633060994,-0.543538350619236,-0.762299077478528,-0.180159811214911,-0.55923363110531,0.771282920333718
"11b-OHA4",0.373866657950631,0.630186416716574,-0.151775660804924,0.022836316745818,-0.0481741849145669,0.136881188476576,0.205292078547606,0.556901780592773,-0.568863768219534,0.29358387716913,0.104522729344683,0.920122235683945
"11-KDHT",0.147021133447511,0.468976181869919,-0.274662049975171,-0.143392965146368,-0.0307520576127088,-0.373550709166403,0.0340066127572229,0.343229798786291,-0.381724547281096,0.229676262235499,-0.0140794754892692,0.690087862499876
"11-KA4",0.359183836695647,0.365464929421632,0.405495521500762,0.268363428101568,0.0723836697550915,0.589281555709455,0.305144313934695,0.325072222146354,0.316002894987395,0.343605493529848,-0.202823838239957,1.57652423174923
"DHEA",-0.332903964816238,0.0127479711734521,-0.70150345849199,-0.247582725671791,-0.252896677085954,-0.178183913618295,-0.188590913625743,-0.164608401383152,-0.135715440940407,0.0902122273746723,-0.119286443407901,0.718874575249577
"T/Epi-T",0.215814744067628,-0.234786160496984,-0.431519503368628,-0.0293752764497546,-0.268290587544101,-0.856902638760273,0.109585845287549,-0.204761641500067,-0.470437460328333,0.106485161637726,0.088032337703872,-0.604186176066593
"17a-OHP4",-0.383194905638886,-0.609238487120773,-0.522613359395344,-0.137578638655106,-0.105457118759234,-0.537265654116048,-0.424744624492795,-0.608175236538515,-0.486018034353361,-0.266797933720796,-0.285729527109983,-0.527924688252444
"AN",-0.28596677730088,-0.284243308990553,-0.316603729317998,-0.371408813842777,-0.291446010519994,-0.526436138799086,-0.534990127263935,-0.408224226906063,-0.717537463027961,0.103961187248091,-0.147788428156966,0.660692025042622
"DHT",-0.593961010547161,-1.3920708502245,-0.468105282931625,-0.480349647563534,-0.674158970007427,-0.69640225381211,-0.609867690490497,-1.44064672998246,-0.148100308728254,-0.420628947323875,-0.539866675183491,-0.72602840616167
"A4",-0.41051031602064,-0.26194502906181,-0.593196646184224,-0.247080207519639,-0.17213461480317,-0.376138677216248,-0.488015814626707,-0.361490312962927,-0.689283585177672,0.158976792002913,0.0419868385950029,0.656962576680098
"DOC",-0.731847804273186,-0.761364936678755,-0.778240844043903,-0.235964331371978,-0.0624321389449096,-0.635263358943604,-0.849135730932681,-0.857177715459741,-0.896406838804595,0.196298436140756,0.070175868675343,0.536575252688049
"P5",-0.767274829423298,-0.565211088160521,-0.972540090972341,-0.40869210365976,-0.266084360495843,-0.641224586229891,-0.67211764796328,-0.74143347940499,-0.496432347169377,-0.218385725994529,-0.302462863995444,0.0834991060580875
"P4",-0.622881087395329,-0.74366354707117,-0.209942947517673,-0.161252469689496,-0.0770669353802679,-0.438842895508916,-0.579944734211869,-0.676702801648322,-0.36732686504932,-0.455704392082252,-0.514302145363664,0.0585166158739411
"A",-0.467780347241381,-0.536262643255674,-0.123833713896775,0.024419069494256,0.106836851354956,0.065091856707061,-0.396798384539483,-0.483763051111488,-0.104835248734828,-0.0186884572337214,-0.0641865128124762,0.310905844161851
"E2",-0.306637887434766,-0.481938985574161,0.26848738264918,-0.0840017190347617,-0.173263735008341,0.527433644124856,-0.482554535364137,-0.672574714469229,-0.00103051589058794,-0.153942918988616,-0.277501230055767,0.954631145142984
"E1",-0.306550261024934,-0.428468591474831,0.144805815131649,-0.175951915658761,-0.31774269251993,0.359406278966808,-0.330031974675388,-0.516568901709991,0.192173803517081,0.106637048768394,-0.0203074209633193,0.843004727603702
