"","All","Female","Male","All","Female","Male","All","Female","Male","All","Female","Male"
"E",-0.00843015092718539,0.10631879938717,-0.605610986202841,-0.126381550732294,-0.187171067820117,-0.10114034567984,-0.148909445590238,-0.0402822989846591,-0.733809706938079,0.53732158294932,0.163625854588652,1.2975537487784
"11-KT",0.0520548040570818,0.232248861106376,-0.274806461967435,-0.244352971291749,-0.418813633702824,0.184168607953836,-0.069113348760509,0.20266796875147,-0.644281077317514,0.370209521492485,0.274177544599359,0.593244105532336
"17a-OHP5",-0.203627922068671,-0.155835506705631,-0.435301214242763,-0.207071427370836,-0.157775032986064,-0.403930966678704,-0.247162797294566,-0.439302845390672,-0.0192353876090722,-0.249469810407725,-0.55020898841778,-0.0708076277588936
"S",-0.247146548376845,-0.14873799856833,-0.532833285429609,-0.187168041934729,-0.0960678342267903,-0.436541249078255,-0.482724228119461,-0.348832890662363,-0.79843433186648,0.114670398242706,-0.231505022773724,0.271712563369728
"B",-0.409002728981933,-0.253082456323148,-0.659914117603913,-0.195675444332528,-0.19319481178425,-0.20582121934695,-0.622199633060994,-0.543538350619236,-0.762299077478528,-0.236302023815225,-0.713263637209363,0.194489328876153
"11b-OHA4",0.373866657950631,0.630186416716574,-0.151775660804924,0.022836316745818,-0.0481741849145669,0.136881188476576,0.205292078547606,0.556901780592773,-0.568863768219534,0.395036414270857,0.481262776961964,0.212096603076568
"11-KDHT",0.147021133447511,0.468976181869919,-0.274662049975171,-0.143392965146368,-0.0307520576127088,-0.373550709166403,0.0340066127572229,0.343229798786291,-0.381724547281096,0.235941770248425,0.160530385597564,0.183118074384716
"11-KA4",0.359183836695647,0.365464929421632,0.405495521500762,0.268363428101568,0.0723836697550915,0.589281555709455,0.305144313934695,0.325072222146354,0.316002894987395,-0.0596785504797651,-0.68915808019378,0.42342009738225
"DHEA",-0.332903964816238,0.0127479711734521,-0.70150345849199,-0.247582725671791,-0.252896677085954,-0.178183913618295,-0.188590913625743,-0.164608401383152,-0.135715440940407,-0.403680569922338,-0.68345425327382,-0.0198411521483976
"T/Epi-T",0.215814744067628,-0.234786160496984,-0.431519503368628,-0.0293752764497546,-0.268290587544101,-0.856902638760273,0.109585845287549,-0.204761641500067,-0.470437460328333,0.313656485063565,-0.193109547087654,-0.55777872619312
"17a-OHP4",-0.383194905638886,-0.609238487120773,-0.522613359395344,-0.137578638655106,-0.105457118759234,-0.537265654116048,-0.424744624492795,-0.608175236538515,-0.486018034353361,0.218129926602473,0.242500102111527,-0.175668319451829
"AN",-0.28596677730088,-0.284243308990553,-0.316603729317998,-0.371408813842777,-0.291446010519994,-0.526436138799086,-0.534990127263935,-0.408224226906063,-0.717537463027961,-0.250484013199343,-0.19351641015338,-0.323100235549682
"DHT",-0.593961010547161,-1.3920708502245,-0.468105282931625,-0.480349647563534,-0.674158970007427,-0.69640225381211,-0.609867690490497,-1.44064672998246,-0.148100308728254,0.0390866544858829,-0.471504688302482,-0.037857369005209
"A4",-0.41051031602064,-0.26194502906181,-0.593196646184224,-0.247080207519639,-0.17213461480317,-0.376138677216248,-0.488015814626707,-0.361490312962927,-0.689283585177672,-0.0404549838870543,-0.0265879550953038,0.110653861272871
"DOC",-0.731847804273186,-0.761364936678755,-0.778240844043903,-0.235964331371978,-0.0624321389449096,-0.635263358943604,-0.849135730932681,-0.857177715459741,-0.896406838804595,-0.407670650185551,-0.789896164864546,-0.0794378700622232
"P5",-0.767274829423298,-0.565211088160521,-0.972540090972341,-0.40869210365976,-0.266084360495843,-0.641224586229891,-0.67211764796328,-0.74143347940499,-0.496432347169377,-0.253783427559042,-0.869606095755957,0.504046927460095
"P4",-0.622881087395329,-0.74366354707117,-0.209942947517673,-0.161252469689496,-0.0770669353802679,-0.438842895508916,-0.579944734211869,-0.676702801648322,-0.36732686504932,0.0092288867740016,0.2238989249633,0.369450592378795
"A",-0.467780347241381,-0.536262643255674,-0.123833713896775,0.024419069494256,0.106836851354956,0.065091856707061,-0.396798384539483,-0.483763051111488,-0.104835248734828,0.108654208064328,0.302822975541074,0.362445522887037
"E2",-0.306637887434766,-0.481938985574161,0.26848738264918,-0.0840017190347617,-0.173263735008341,0.527433644124856,-0.482554535364137,-0.672574714469229,-0.00103051589058794,-0.311028339881647,-0.335143198313395,-0.443790809776218
"E1",-0.306550261024934,-0.428468591474831,0.144805815131649,-0.175951915658761,-0.31774269251993,0.359406278966808,-0.330031974675388,-0.516568901709991,0.192173803517081,-0.360907804022288,-0.288545744365108,-0.24901552316033
