	cM	25%	75%	cM	25%	75%	cM	25%	75%
E	40685.322	33628.166	45755.034	40537.895	30857.292	45249.556	42423.998	37905.65	49608.261
11-KT	926.089	617.465	1161.315	925.208	606.216	1163.356	941.885	759.039	1087.194
17a-OHP5	1613.375	924.435	3289.708	1614.58	776.007	3293.109	1612.17	1189.626	3049.818
S	842.755	560.461	1134.338	809.879	533.419	1049.962	892.445	575.816	1346.303
B	7258.158	5046.464	12537.708	7545.362	5054.271	12526.122	6494.666	5084.823	12851.865
11b-OHA4	8870.234	6699.567	11868.466	9460.814	6378.815	11405.67	8662.543	7509.933	12527.759
11-KDHT	100	100	100	100	100	100	100	100	153.014
11-KA4	1262.398	845.364	1687.177	1261.992	838.122	1662.598	1318.019	890.176	1699.468
DHEA	8294.146	5602.303	12330.232	9395.403	6072.018	13100.16	6683.324	5301.176	9524.5
T/Epi-T	1224.521	837.845	8088.642	912.986	717.224	1215.801	10808.468	8204.054	13367.028
17a-OHP4	1121.074	631.294	1716.772	829.834	527.319	1510.033	1510.204	1076.157	1838.766
AN	250	250	506.554	250	250	504.84	250	250	410.374
DHT	275.563	131.84	461.194	202.631	109.361	310.982	524.121	381.304	632.03
A4	2226.09	1547.706	3064.007	2366.296	1578.072	3276.114	1994.668	1538.977	2424.236
DOC	62.447	47.405	90.469	59.787	47.996	96.342	67.218	44.33	87.425
P5	2091.264	1288.141	4116.228	2374.983	1369.833	4172.336	1583.961	1120.402	2464.258
P4	124.244	78.932	262.136	159.613	91.955	585.953	94.012	75.13	145.544
A	1105.174	685.244	1827.082	1290.651	924.76	2003.573	721.652	443.239	1141.528
E2	137.493	77.413	271.127	166.653	65.889	441.212	117.29	104.037	174.532
E1	270.921	169.992	407.188	321.357	192.934	481.816	231.762	166.015	284.701
CA	11.009	6.956	16.045	11.281	6.551	16.034	10.644	7.472	15.679
CDCA	30.805	27.355	37.427	30.829	26.801	37.032	29.864	27.565	43.038
DCA	21.409	16.977	26.085	21.603	18.252	26.003	19.452	16.438	26.025
LCA	94.263	84.376	99.879	95.019	85.374	99.875	89.734	84.37	101.707
UDCA	7.38	5.328	11.014	8.691	6.197	12.562	6.759	3.996	8.016
GCA	15966.631	9474.727	23382.639	17186.637	9271.789	23101.504	14578.707	10409.347	22389.679
GCDCA	14801.279	8960.878	23899.024	15554.342	8549.356	24876.865	12738.863	9312.564	21418.038
GDCA	7437.865	3297.726	14388.534	7834.94	4313.704	15531.252	5828.298	1409.889	12554.955
GDHCA	2.379	2.021	2.856	2.335	1.965	3.022	2.428	2.06	2.596
GHCA	22.48	12.237	37.627	25.172	14.238	40.098	19.17	10.032	30.172
GHDGA	3.162	0.35	6.579	3.162	0.35	5.979	3.353	0.118	8.434
GLCA	340.781	182.181	607.337	354.113	214.072	590.258	310.364	157.431	656.27
GUDCA	1184.075	565.444	2333.931	1237.867	588.114	2502.512	962.236	545.741	1773.351
TbMCA	29.275	11.419	81.203	32.881	12.593	79.73	26.16	10.759	80.139
ToMCA	17.255	13.683	24.822	17.558	13.87	25.331	17.025	12.073	24.164
TCA	4700.406	3054.383	6914.417	4386.529	2830.524	6474.41	6000.485	3679.875	7981.012
TCDCA	4950.377	3173.812	7236.787	4771.524	2965.906	7203.08	5351.02	3711.909	7026.79
TDCA	1558.676	857.081	3995.534	1696.225	875.142	3897.21	1422.538	629.204	4360.791
TDHCA	11.035	9.875	13.931	10.913	9.9	13.622	11.664	9.851	14.373
THCA	17.952	14.775	23.55	18.033	14.814	24.309	17.069	14.799	20.508
TLCA	126.752	67.017	244.035	134.927	69.953	249.699	123.998	62.657	239.906
TUDCA	116.054	73.134	214.039	112.032	70.874	214.639	117.822	78.817	213.52
C4	35.059	19.49	65.982	35.059	20.991	70.33	33.495	16.772	48.338
PFHpA	0.053	0.035	0.079	0.045	0.027	0.068	0.079	0.055	0.093
PFHxA	0.208	0.176	0.253	0.198	0.177	0.252	0.229	0.176	0.259
PFHxA_Branched	2.469	1.554	5.484	2.454	1.501	4.586	2.769	1.666	7.058
PFHxS	0.04	0.029	0.052	0.034	0.027	0.046	0.051	0.039	0.066
PFNA	0.025	0.016	0.033	0.024	0.016	0.032	0.027	0.02	0.039
PFOA	0.126	0.086	0.162	0.127	0.084	0.16	0.125	0.097	0.167
PFOS	0.142	0.101	0.239	0.122	0.09	0.209	0.182	0.145	0.27
Cer	32.623	28.245	38.408	32.973	27.997	38.314	31.922	28.555	38.713
CE	3.991	3.597	4.543	4.108	3.651	4.714	3.811	3.486	4.391
DG	7.136	5.233	9.085	7.169	5.158	9.111	7.103	5.699	8.9
Hexcer	7.075	6.192	8.03	6.831	6.023	7.834	7.559	6.413	8.6
LPC	6.12	5.163	7.369	5.991	5.088	7.136	6.667	5.328	7.768
PC	82.206	72.488	88.679	82.918	71.779	88.762	82.087	74.528	87.354
PC_O	6.103	5.327	7.117	5.837	5.067	6.313	6.992	6.135	7.67
PE	47.749	43.739	51.178	46.222	43.145	49.655	49.371	47.345	53.112
PI	7.294	6.387	8.221	7.254	6.332	8.232	7.35	6.487	8.041
SM	19.72	18.148	23.216	19.435	17.727	21.713	21.502	18.855	24.641
TG_SFA	53.188	36.273	81.862	56.972	36.846	78.66	47.274	36.095	87.772
MUFA	36.247	23.325	51.35	34.481	20.869	49.915	42.592	29.969	56.53
TG_PUFA	30.739	22.908	46.229	28.105	21.311	39.782	33.201	24.887	50.849
